NodeId;Status;Resources[CPU, MEM(RAM)];ProcessingDelay;NodeCost;PercentFailure
1;T;[0, 0];0.1;0.8;0
2;T;[0, 0];0.9;0.7;0
3;T;[0, 0];0.8;0.5;0
4;T;[0, 0];1.0;0.9;0
5;T;[0, 0];0.7;0.7;0
6;T;[0, 0];0.7;1.0;0
7;T;[0, 0];1.0;0.9;0
8;T;[0, 0];1.0;0.8;0
9;T;[0, 0];0.4;0.6;0
10;T;[0, 0];1.0;0.6;0
11;T;[0, 0];0.3;0.8;0
12;T;[0, 0];1.0;0.9;0
13;T;[0, 0];0.5;0.8;0
14;T;[0, 0];1.0;0.5;0
15;T;[0, 0];0.6;0.9;0
16;T;[0, 0];0.9;0.6;0
17;T;[0, 0];0.4;0.6;0
18;T;[0, 0];0.1;0.5;0
19;T;[0, 0];0.9;0.7;0
20;T;[0, 0];0.1;0.6;0
21;T;[0, 0];0.2;0.8;0
22;T;[0, 0];0.3;0.7;0
23;T;[0, 0];0.1;0.8;0
24;T;[0, 0];0.2;0.7;0
25;T;[0, 0];0.4;0.5;0
26;T;[0, 0];0.3;0.5;0
27;T;[0, 0];0.1;0.9;0
28;T;[0, 0];0.3;0.7;0
29;T;[0, 0];0.3;0.6;0
30;T;[0, 0];0.8;0.6;0
31;T;[0, 0];0.8;0.9;0
32;T;[0, 0];0.2;0.9;0
33;T;[0, 0];0.1;1.0;0
34;T;[0, 0];0.7;1.0;0
35;T;[0, 0];0.3;0.9;0
36;T;[0, 0];0.8;0.9;0
37;T;[0, 0];0.9;1.0;0
38;T;[0, 0];0.4;0.8;0
39;T;[0, 0];0.6;0.8;0
40;T;[0, 0];0.1;0.9;0
41;T;[0, 0];0.8;0.6;0
42;T;[0, 0];0.4;0.8;0
43;T;[0, 0];0.2;0.6;0
44;T;[0, 0];0.5;0.8;0
45;T;[0, 0];0.7;0.9;0
46;T;[0, 0];0.3;1.0;0
47;T;[0, 0];0.5;0.5;0
48;T;[0, 0];0.8;0.7;0
49;T;[0, 0];0.9;0.6;0
50;T;[0, 0];0.6;1.0;0
51;T;[0, 0];0.4;0.6;0
52;T;[0, 0];0.1;1.0;0
53;T;[0, 0];0.8;0.5;0
54;T;[0, 0];0.7;0.7;0
55;T;[0, 0];0.3;0.9;0
56;T;[0, 0];0.2;0.9;0
57;T;[0, 0];0.6;1.0;0
58;T;[0, 0];0.8;0.7;0
59;T;[0, 0];0.1;0.5;0
60;T;[0, 0];0.1;0.7;0
61;T;[0, 0];0.1;0.6;0
62;T;[0, 0];0.4;0.5;0
63;T;[0, 0];0.9;1.0;0
64;T;[0, 0];0.9;0.8;0
65;T;[0, 0];0.6;0.6;0
66;T;[0, 0];0.3;0.9;0
67;T;[0, 0];0.4;0.7;0
68;T;[0, 0];0.5;0.6;0
69;T;[0, 0];0.3;0.9;0
70;T;[0, 0];0.7;0.5;0
71;T;[0, 0];1.0;0.9;0
72;T;[0, 0];0.6;0.8;0
73;T;[0, 0];0.4;0.5;0
74;T;[0, 0];1.0;0.9;0
75;T;[0, 0];0.5;0.8;0
76;T;[0, 0];0.3;0.7;0
77;T;[0, 0];0.2;0.8;0
78;T;[0, 0];0.6;0.9;0
79;T;[0, 0];0.2;0.9;0
80;T;[0, 0];0.7;0.6;0
81;T;[0, 0];0.2;0.8;0
82;T;[0, 0];0.8;0.5;0
83;T;[0, 0];1.0;0.5;0
84;T;[0, 0];1.0;0.5;0
85;T;[0, 0];1.0;0.5;0
86;T;[0, 0];0.7;0.6;0
87;T;[0, 0];0.7;0.5;0
88;T;[0, 0];0.1;1.0;0
89;T;[0, 0];0.5;0.5;0
90;T;[0, 0];0.7;0.9;0
91;T;[0, 0];0.5;0.8;0
92;T;[0, 0];0.7;0.9;0
93;T;[0, 0];0.2;0.5;0
94;T;[0, 0];0.1;1.0;0
95;T;[0, 0];0.4;0.9;0
96;T;[0, 0];0.8;0.8;0
97;T;[0, 0];0.2;0.5;0
98;T;[0, 0];0.2;0.9;0
99;T;[0, 0];1.0;0.5;0
100;T;[0, 0];0.8;0.9;0
101;T;[0, 0];0.6;1.0;0
102;T;[0, 0];0.9;1.0;0
103;T;[0, 0];0.3;0.6;0
104;T;[0, 0];0.9;0.7;0
105;T;[0, 0];0.2;0.8;0
106;T;[0, 0];0.6;0.6;0
107;T;[0, 0];0.4;0.9;0
108;T;[0, 0];0.1;1.0;0
109;T;[0, 0];0.1;0.5;0
110;T;[0, 0];0.8;0.5;0
111;T;[0, 0];0.1;0.9;0
112;T;[0, 0];0.6;0.8;0
113;T;[0, 0];0.3;0.9;0
114;T;[0, 0];0.4;0.6;0
115;T;[0, 0];0.2;0.5;0
116;T;[0, 0];0.3;0.6;0
117;T;[0, 0];0.8;0.6;0
118;T;[0, 0];0.4;0.9;0
119;T;[0, 0];0.5;0.5;0
120;T;[0, 0];0.4;0.6;0
121;T;[0, 0];0.8;0.8;0
122;T;[0, 0];0.7;0.5;0
123;T;[0, 0];0.5;0.8;0
124;T;[0, 0];0.7;1.0;0
125;T;[0, 0];1.0;1.0;0
126;T;[0, 0];0.8;1.0;0
127;T;[0, 0];0.4;1.0;0
128;T;[0, 0];1.0;0.8;0
129;T;[0, 0];0.9;0.6;0
130;T;[0, 0];0.7;0.9;0
131;T;[0, 0];0.6;0.5;0
132;T;[0, 0];0.1;0.5;0
133;T;[0, 0];0.6;0.9;0
134;T;[0, 0];0.5;0.7;0
135;T;[0, 0];0.9;1.0;0
136;T;[0, 0];0.3;0.8;0
137;T;[0, 0];0.8;0.6;0
138;T;[0, 0];0.3;1.0;0
139;T;[0, 0];0.4;0.9;0
140;T;[0, 0];0.9;0.7;0
141;T;[0, 0];0.6;0.8;0
142;T;[0, 0];0.8;0.5;0
143;T;[0, 0];0.9;0.9;0
144;T;[0, 0];0.3;0.6;0
145;T;[0, 0];0.4;0.5;0
146;T;[0, 0];0.6;0.7;0
147;T;[0, 0];0.8;0.9;0
148;T;[0, 0];0.8;0.9;0
149;T;[0, 0];0.3;0.8;0
150;T;[0, 0];0.3;0.6;0
151;T;[0, 0];0.4;0.7;0
152;T;[0, 0];0.1;0.8;0
153;T;[0, 0];0.3;0.5;0
154;T;[0, 0];0.6;0.7;0
155;T;[0, 0];0.3;0.5;0
156;T;[0, 0];0.6;0.9;0
157;T;[0, 0];0.2;0.9;0
158;T;[0, 0];0.1;0.9;0
159;T;[0, 0];0.1;0.9;0
160;T;[0, 0];0.6;0.7;0
161;T;[0, 0];0.8;0.9;0
162;T;[0, 0];0.2;1.0;0
163;T;[0, 0];1.0;1.0;0
164;T;[0, 0];0.2;0.8;0
165;T;[0, 0];0.8;0.9;0
166;T;[0, 0];0.1;0.5;0
167;T;[0, 0];0.4;0.6;0
168;T;[0, 0];0.7;0.5;0
169;T;[0, 0];0.9;1.0;0
170;T;[0, 0];0.2;0.5;0
171;T;[0, 0];0.5;0.8;0
172;T;[0, 0];0.7;0.8;0
173;T;[0, 0];0.4;0.7;0
174;T;[0, 0];0.1;0.8;0
175;T;[0, 0];0.7;1.0;0
176;T;[0, 0];0.7;0.8;0
177;T;[0, 0];0.9;0.8;0
178;T;[0, 0];0.4;0.6;0
179;T;[0, 0];0.5;1.0;0
180;T;[0, 0];0.5;0.6;0
181;T;[0, 0];0.7;0.7;0
182;T;[0, 0];0.3;1.0;0
183;T;[0, 0];0.2;0.5;0
184;T;[0, 0];0.4;0.5;0
185;T;[0, 0];0.5;0.5;0
186;T;[0, 0];0.4;0.5;0
187;T;[0, 0];0.1;0.8;0
188;T;[0, 0];0.6;0.6;0
189;T;[0, 0];0.9;0.7;0
190;T;[0, 0];0.7;1.0;0
191;T;[0, 0];0.5;0.8;0
192;T;[0, 0];0.6;0.7;0
193;T;[0, 0];0.7;0.5;0
194;T;[0, 0];0.3;0.5;0
195;T;[0, 0];0.3;1.0;0
196;T;[0, 0];0.2;0.8;0
197;T;[0, 0];0.8;0.6;0
198;T;[0, 0];0.8;0.6;0
